prefLabel_en,prefLabel_cs,definition_en,definition_cs
Albeluvisols,Albeluvizemě,Soils with an albic horizon tonguing into an argic horizon.,Půdy s albickým horizontem pronikajícím do argického horizontu.
Acrisols,Akrizemě,Acid soils with a clay-enriched subsurface horizon and low base saturation.,Kyselé půdy s jílovitým obohaceným podpovrchovým horizontem a nízkou bázovou saturací.
Alisols,Alizemě,Acid soils with high-activity clays and a clay-enriched subsurface horizon.,Kyselé půdy s vysoce aktivními jíly a jílovitým podpovrchovým horizontem.
Andosols,Andosoly,Soils formed from volcanic materials with unique mineralogy.,Půdy vzniklé z vulkanických materiálů se specifickou mineralogií.
Arenosols,Arenosoly,Sandy soils with very weak horizon development.,Písčité půdy s velmi slabým vývojem horizontů.
Anthrosols,Antrozemě,Soils strongly influenced or modified by long-term human activity.,Půdy výrazně ovlivněné dlouhodobou lidskou činností.
Calcisols,Kalcizemy,Soils with substantial accumulation of secondary calcium carbonate.,Půdy s výraznou akumulací sekundárního uhličitanu vápenatého.
Cambisols,Kambizemě,Young soils with initial horizon development.,Mladé půdy s počátečním vývojem horizontů.
Cryosols,Kryosoly,Cold soils with permafrost within two meters of the surface.,Chladné půdy s permafrostem do hloubky dvou metrů.
Durisols,Durisoly,Soils with accumulations of silica forming hard layers.,Půdy s akumulací křemičitých sloučenin tvořících tvrdé horizonty.
Fluvisols,Fluvizemě,Young soils developed from recent alluvial deposits.,Mladé půdy vyvinuté z recentních fluviálních sedimentů.
Ferralsols,Feralzemy,Highly weathered soils with low nutrient reserves and rich in iron and aluminum oxides.,Silně zvětralé půdy chudé na živiny s vysokým obsahem oxidů železa a hliníku.
Gleysols,Glejzemě,Waterlogged soils with reducing conditions.,Zamokřené půdy s redukčními podmínkami.
Gypsisols,Gypsizemě,Soils with significant accumulation of gypsum.,Půdy s významnou akumulací sádrovce.
Histosols,Histosoly,Organic soils rich in organic matter.,Organické půdy s vysokým obsahem organické hmoty.
Chernozems,Černozemě,"Soils with thick, dark, organic-rich surface horizons.",Půdy s mocným tmavým humusovým horizontem.
Kastanozems,Kaštanozemě,Soils with brown surface horizons in dry grassland regions.,Půdy s hnědavým povrchovým horizontem v suchých stepních oblastech.
Leptosols,Leptosoly,Shallow soils over hard rock or highly calcareous material.,Mělké půdy nad pevným podložím nebo karbonátovými materiály.
Luvisols,Luvizemě,Soils with a clay-enriched subsurface horizon and high base saturation.,Půdy s jílovitým podpovrchovým horizontem a vysokou bázovou saturací.
Lixisols,Lixizemě,Soils with clay accumulation and low-activity clays in warm climates.,Půdy s jílovým obohacením a nízkoaktivními jíly v teplém klimatu.
Nitisols,Nitizemy,"Deep, well-structured soils rich in iron with stable aggregates.","Hluboké, dobře strukturované půdy bohaté na železo se stabilní strukturou".
Phaeozems,Faeozemě,Soils with dark surface horizons and higher moisture than Chernozems.,Půdy s tmavým povrchovým horizontem a vyšší vlhkostí než černozemě.
Planosols,Planosoly,Soils with a dense subsurface layer causing water stagnation.,Půdy s hutným podpovrchovým horizontem způsobujícím zamokření.
Plinthosols,Plintosoly,Soils with plinthite that can harden irreversibly.,"Půdy obsahující plintit, který může nevratně ztvrdnout."
Podzols,Podzoly,Acid soils with strong leaching and spodic horizon.,Kyselé půdy se silnou eluviací a spodickým horizontem.
Regosols,Regosoly,Weakly developed mineral soils without significant horizons.,Slabě vyvinuté minerální půdy bez výrazného horizontového členění.
Solonchaks,Solončaky,Saline soils with high soluble salt content.,Půdy s vysokým obsahem rozpustných solí.
Solonetz,Soloněce,"Sodium-affected soils with dense, hard subsurface horizons.",Půdy ovlivněné sodíkem s hutnými podpovrchovými horizonty.
Stagnosols,Stagnosoly,Soils affected by temporary water stagnation above a dense layer.,Půdy ovlivněné periodickým zamokřením nad nepropustnou vrstvou.
Technosols,Technosoly,Soils containing significant amounts of artefacts or technogenic materials.,Půdy obsahující značné množství antropogenních materiálů.
Umbrisols,Umbrizemě,"Soils with dark, organic-rich surface horizons in humid climates.",Půdy s tmavým humusovým horizontem ve vlhkém klimatu.
Vertisols,Vertisoly,Clay-rich soils with strong shrink-swell properties.,Jílovité půdy s výraznými objemovými změnami při vysychání a zvlhčení.
